moon_ra,  moon_dec, moon_phase_frac, jup_ra, jup_dec
165.38,  10.70, 0.17, 260.99, -22.97
165.74,  10.48, 0.17, 261.00, -22.97
166.11,  10.26, 0.16, 261.01, -22.97
166.51,  10.02, 0.16, 261.02, -22.97
166.94,  9.77, 0.15, 261.03, -22.97
167.42,  9.52, 0.15, 261.03, -22.97
167.95,  9.27, 0.15, 261.04, -22.97
168.53,  9.01, 0.14, 261.05, -22.97
169.17,  8.76, 0.14, 261.06, -22.97
169.86,  8.51, 0.14, 261.07, -22.98
170.59,  8.27, 0.13, 261.07, -22.98
171.35,  8.03, 0.13, 261.08, -22.98
172.14,  7.80, 0.13, 261.09, -22.98
172.93,  7.57, 0.12, 261.10, -22.98
173.72,  7.36, 0.12, 261.11, -22.98
174.49,  7.14, 0.12, 261.12, -22.98
175.24,  6.93, 0.11, 261.12, -22.98
175.94,  6.72, 0.11, 261.13, -22.98
176.60,  6.52, 0.11, 261.14, -22.98
177.21,  6.31, 0.10, 261.15, -22.98
177.76,  6.10, 0.10, 261.16, -22.98
178.26,  5.88, 0.10, 261.17, -22.98
178.71,  5.67, 0.10, 261.17, -22.98
179.11,  5.44, 0.09, 261.18, -22.98
179.49,  5.21, 0.09, 261.19, -22.98
179.85,  4.98, 0.09, 261.20, -22.98
180.21,  4.73, 0.08, 261.21, -22.98
180.57,  4.49, 0.08, 261.21, -22.98
180.97,  4.24, 0.08, 261.22, -22.99
181.39,  3.99, 0.08, 261.23, -22.99
181.87,  3.73, 0.07, 261.24, -22.99
182.40,  3.48, 0.07, 261.25, -22.99
182.98,  3.23, 0.07, 261.26, -22.99
183.61,  2.98, 0.07, 261.26, -22.99
184.30,  2.73, 0.06, 261.27, -22.99
185.02,  2.49, 0.06, 261.28, -22.99
185.78,  2.24, 0.06, 261.29, -22.99
186.56,  2.00, 0.06, 261.30, -22.99
187.35,  1.77, 0.05, 261.31, -22.99
188.13,  1.53, 0.05, 261.31, -22.99
188.89,  1.29, 0.05, 261.32, -22.99
189.63,  1.05, 0.05, 261.33, -22.99
190.32,  0.82, 0.05, 261.34, -22.99
190.97,  0.58, 0.04, 261.35, -22.99
191.57,  0.34, 0.04, 261.36, -22.99
192.11,  0.09, 0.04, 261.36, -22.99
192.59,  -0.15, 0.04, 261.37, -23.00
193.03,  -0.40, 0.04, 261.38, -23.00
193.43,  -0.65, 0.03, 261.39, -23.00
193.80,  -0.89, 0.03, 261.40, -23.00
194.16,  -1.14, 0.03, 261.41, -23.00
194.51,  -1.39, 0.03, 261.41, -23.00
194.88,  -1.63, 0.03, 261.42, -23.00
195.27,  -1.87, 0.03, 261.43, -23.00
195.71,  -2.11, 0.02, 261.44, -23.00
196.19,  -2.35, 0.02, 261.45, -23.00
196.72,  -2.58, 0.02, 261.46, -23.00
197.30,  -2.81, 0.02, 261.46, -23.00
197.94,  -3.04, 0.02, 261.47, -23.00
198.63,  -3.27, 0.02, 261.48, -23.00
199.36,  -3.50, 0.02, 261.49, -23.00
200.12,  -3.73, 0.01, 261.50, -23.00
200.90,  -3.96, 0.01, 261.51, -23.00
201.69,  -4.20, 0.01, 261.51, -23.00
202.47,  -4.44, 0.01, 261.52, -23.00
203.23,  -4.68, 0.01, 261.53, -23.01
203.96,  -4.93, 0.01, 261.54, -23.01
204.65,  -5.18, 0.01, 261.55, -23.01
205.30,  -5.44, 0.01, 261.56, -23.01
205.89,  -5.70, 0.01, 261.56, -23.01
206.43,  -5.95, 0.01, 261.57, -23.01
206.91,  -6.21, 0.01, 261.58, -23.01
207.35,  -6.47, 0.01, 261.59, -23.01
207.74,  -6.72, 0.00, 261.60, -23.01
208.11,  -6.97, 0.00, 261.61, -23.01
208.47,  -7.20, 0.00, 261.61, -23.01
208.83,  -7.44, 0.00, 261.62, -23.01
209.20,  -7.66, 0.00, 261.63, -23.01
209.60,  -7.87, 0.00, 261.64, -23.01
210.05,  -8.08, 0.00, 261.65, -23.01
210.53,  -8.28, 0.00, 261.66, -23.01
211.08,  -8.48, 0.00, 261.66, -23.01
211.67,  -8.67, 0.00, 261.67, -23.01
212.33,  -8.87, 0.00, 261.68, -23.02
213.02,  -9.06, 0.00, 261.69, -23.02
213.76,  -9.26, 0.00, 261.70, -23.02
214.53,  -9.46, 0.00, 261.71, -23.02
215.32,  -9.67, 0.00, 261.71, -23.02
216.12,  -9.89, 0.00, 261.72, -23.02
216.90,  -10.12, 0.00, 261.73, -23.02
217.67,  -10.35, 0.00, 261.74, -23.02
218.40,  -10.60, 0.00, 261.75, -23.02
219.10,  -10.84, 0.00, 261.76, -23.02
219.74,  -11.10, 0.00, 261.77, -23.02
220.34,  -11.35, 0.00, 261.77, -23.02
220.87,  -11.61, 0.00, 261.78, -23.02
221.36,  -11.86, 0.01, 261.79, -23.02
221.80,  -12.10, 0.01, 261.80, -23.02
222.20,  -12.34, 0.01, 261.81, -23.02
222.58,  -12.56, 0.01, 261.82, -23.02
222.94,  -12.78, 0.01, 261.83, -23.02
223.30,  -12.98, 0.01, 261.83, -23.02
223.69,  -13.16, 0.01, 261.84, -23.03
224.10,  -13.33, 0.01, 261.85, -23.03
224.55,  -13.49, 0.01, 261.86, -23.03
225.06,  -13.65, 0.01, 261.87, -23.03
225.61,  -13.79, 0.01, 261.88, -23.03
226.22,  -13.94, 0.01, 261.88, -23.03
226.89,  -14.08, 0.02, 261.89, -23.03
227.60,  -14.23, 0.02, 261.90, -23.03
228.36,  -14.39, 0.02, 261.91, -23.03
229.14,  -14.55, 0.02, 261.92, -23.03
229.94,  -14.72, 0.02, 261.93, -23.03
230.74,  -14.91, 0.02, 261.94, -23.03
231.54,  -15.11, 0.02, 261.94, -23.03
232.32,  -15.32, 0.02, 261.95, -23.03
233.06,  -15.53, 0.03, 261.96, -23.03
233.76,  -15.76, 0.03, 261.97, -23.03
234.41,  -15.99, 0.03, 261.98, -23.03
235.01,  -16.23, 0.03, 261.99, -23.03
235.55,  -16.46, 0.03, 262.00, -23.03
236.04,  -16.69, 0.03, 262.00, -23.04
236.48,  -16.90, 0.04, 262.01, -23.04
236.89,  -17.11, 0.04, 262.02, -23.04
237.27,  -17.30, 0.04, 262.03, -23.04
237.64,  -17.47, 0.04, 262.04, -23.04
238.01,  -17.62, 0.04, 262.05, -23.04
238.40,  -17.75, 0.05, 262.05, -23.04
238.83,  -17.87, 0.05, 262.06, -23.04
239.29,  -17.97, 0.05, 262.07, -23.04
239.81,  -18.07, 0.05, 262.08, -23.04
240.38,  -18.16, 0.05, 262.09, -23.04
241.00,  -18.24, 0.06, 262.10, -23.04
241.68,  -18.33, 0.06, 262.11, -23.04
242.41,  -18.42, 0.06, 262.11, -23.04
243.18,  -18.53, 0.06, 262.12, -23.04
243.97,  -18.64, 0.06, 262.13, -23.04
244.78,  -18.77, 0.07, 262.14, -23.04
245.59,  -18.91, 0.07, 262.15, -23.04
246.40,  -19.07, 0.07, 262.16, -23.04
247.18,  -19.24, 0.07, 262.17, -23.04
247.93,  -19.42, 0.08, 262.17, -23.05
248.63,  -19.61, 0.08, 262.18, -23.05
249.28,  -19.80, 0.08, 262.19, -23.05
249.88,  -20.00, 0.08, 262.20, -23.05
250.43,  -20.20, 0.09, 262.21, -23.05
250.92,  -20.38, 0.09, 262.22, -23.05
251.36,  -20.56, 0.09, 262.23, -23.05
251.77,  -20.71, 0.09, 262.24, -23.05
252.16,  -20.85, 0.10, 262.24, -23.05
252.53,  -20.97, 0.10, 262.25, -23.05
252.91,  -21.07, 0.10, 262.26, -23.05
253.31,  -21.14, 0.11, 262.27, -23.05
253.74,  -21.20, 0.11, 262.28, -23.05
254.21,  -21.24, 0.11, 262.29, -23.05
254.73,  -21.28, 0.11, 262.29, -23.05
255.31,  -21.30, 0.12, 262.30, -23.05
255.95,  -21.33, 0.12, 262.31, -23.05
256.63,  -21.35, 0.12, 262.32, -23.05
257.37,  -21.39, 0.13, 262.33, -23.05
258.14,  -21.43, 0.13, 262.34, -23.05
258.93,  -21.49, 0.13, 262.35, -23.06
259.75,  -21.57, 0.14, 262.36, -23.06
260.56,  -21.66, 0.14, 262.36, -23.06
261.37,  -21.76, 0.14, 262.37, -23.06
262.15,  -21.89, 0.15, 262.38, -23.06
262.89,  -22.02, 0.15, 262.39, -23.06
263.59,  -22.16, 0.15, 262.40, -23.06
264.24,  -22.31, 0.15, 262.41, -23.06
264.83,  -22.46, 0.16, 262.42, -23.06
265.37,  -22.61, 0.16, 262.43, -23.06
265.86,  -22.74, 0.16, 262.43, -23.06
266.30,  -22.86, 0.17, 262.44, -23.06
266.70,  -22.97, 0.17, 262.45, -23.06
267.08,  -23.05, 0.17, 262.46, -23.06
267.45,  -23.11, 0.18, 262.47, -23.06
267.83,  -23.15, 0.18, 262.48, -23.06
268.23,  -23.16, 0.19, 262.49, -23.06
268.66,  -23.16, 0.19, 262.49, -23.06
269.13,  -23.14, 0.19, 262.50, -23.06
269.65,  -23.11, 0.20, 262.51, -23.07
270.23,  -23.08, 0.20, 262.52, -23.07
270.86,  -23.04, 0.20, 262.53, -23.07
271.55,  -23.01, 0.21, 262.54, -23.07
272.28,  -22.99, 0.21, 262.55, -23.07
273.04,  -22.98, 0.21, 262.55, -23.07
273.83,  -22.98, 0.22, 262.56, -23.07
274.64,  -23.00, 0.22, 262.57, -23.07
275.44,  -23.04, 0.22, 262.58, -23.07
276.24,  -23.09, 0.23, 262.59, -23.07
277.00,  -23.16, 0.23, 262.60, -23.07
277.73,  -23.25, 0.24, 262.61, -23.07
278.42,  -23.34, 0.24, 262.62, -23.07
279.05,  -23.43, 0.24, 262.62, -23.07
279.63,  -23.53, 0.25, 262.63, -23.07
280.15,  -23.62, 0.25, 262.64, -23.07
280.63,  -23.70, 0.25, 262.65, -23.07
281.05,  -23.77, 0.26, 262.66, -23.07
281.44,  -23.81, 0.26, 262.67, -23.07
281.81,  -23.84, 0.27, 262.68, -23.07
282.17,  -23.84, 0.27, 262.69, -23.08
282.54,  -23.82, 0.27, 262.69, -23.08
282.92,  -23.78, 0.28, 262.70, -23.08
283.34,  -23.72, 0.28, 262.71, -23.08
283.81,  -23.65, 0.28, 262.72, -23.08
284.32,  -23.56, 0.29, 262.73, -23.08
284.89,  -23.47, 0.29, 262.74, -23.08
285.51,  -23.38, 0.30, 262.75, -23.08
286.18,  -23.30, 0.30, 262.76, -23.08
286.90,  -23.23, 0.30, 262.76, -23.08
287.65,  -23.16, 0.31, 262.77, -23.08
288.42,  -23.12, 0.31, 262.78, -23.08
289.21,  -23.09, 0.32, 262.79, -23.08
289.99,  -23.07, 0.32, 262.80, -23.08
290.76,  -23.08, 0.32, 262.81, -23.08
291.50,  -23.10, 0.33, 262.82, -23.08
292.21,  -23.13, 0.33, 262.83, -23.08
292.87,  -23.16, 0.34, 262.83, -23.08
293.47,  -23.21, 0.34, 262.84, -23.08
294.03,  -23.25, 0.34, 262.85, -23.08
294.52,  -23.29, 0.35, 262.86, -23.08
294.97,  -23.31, 0.35, 262.87, -23.09
295.37,  -23.32, 0.36, 262.88, -23.09
295.74,  -23.32, 0.36, 262.89, -23.09
296.09,  -23.29, 0.36, 262.90, -23.09
296.43,  -23.24, 0.37, 262.90, -23.09
296.78,  -23.17, 0.37, 262.91, -23.09
297.15,  -23.08, 0.38, 262.92, -23.09
297.56,  -22.97, 0.38, 262.93, -23.09
298.01,  -22.84, 0.38, 262.94, -23.09
298.51,  -22.71, 0.39, 262.95, -23.09
299.06,  -22.58, 0.39, 262.96, -23.09
299.66,  -22.45, 0.40, 262.97, -23.09
300.31,  -22.32, 0.40, 262.98, -23.09
301.01,  -22.20, 0.40, 262.98, -23.09
301.73,  -22.10, 0.41, 262.99, -23.09
302.48,  -22.01, 0.41, 263.00, -23.09
303.24,  -21.93, 0.42, 263.01, -23.09
303.99,  -21.88, 0.42, 263.02, -23.09
304.73,  -21.83, 0.42, 263.03, -23.09
305.44,  -21.81, 0.43, 263.04, -23.09
306.11,  -21.79, 0.43, 263.05, -23.09
306.74,  -21.78, 0.44, 263.06, -23.10
307.31,  -21.77, 0.44, 263.06, -23.10
307.83,  -21.76, 0.44, 263.07, -23.10
308.29,  -21.75, 0.45, 263.08, -23.10
308.71,  -21.72, 0.45, 263.09, -23.10
309.08,  -21.68, 0.46, 263.10, -23.10
309.42,  -21.63, 0.46, 263.11, -23.10
309.75,  -21.55, 0.46, 263.12, -23.10
310.07,  -21.46, 0.47, 263.13, -23.10
310.40,  -21.34, 0.47, 263.13, -23.10
310.75,  -21.21, 0.48, 263.14, -23.10
311.14,  -21.06, 0.48, 263.15, -23.10
311.58,  -20.90, 0.48, 263.16, -23.10
312.06,  -20.73, 0.49, 263.17, -23.10
312.59,  -20.56, 0.49, 263.18, -23.10
313.18,  -20.40, 0.50, 263.19, -23.10
313.81,  -20.24, 0.50, 263.20, -23.10
314.48,  -20.09, 0.51, 263.21, -23.10
315.18,  -19.95, 0.51, 263.21, -23.10
315.90,  -19.83, 0.51, 263.22, -23.10
316.62,  -19.72, 0.52, 263.23, -23.10
317.34,  -19.62, 0.52, 263.24, -23.10
318.05,  -19.54, 0.53, 263.25, -23.11
318.72,  -19.47, 0.53, 263.26, -23.11
319.35,  -19.41, 0.53, 263.27, -23.11
319.94,  -19.36, 0.54, 263.28, -23.11
320.47,  -19.31, 0.54, 263.29, -23.11
320.95,  -19.25, 0.54, 263.29, -23.11
321.38,  -19.19, 0.55, 263.30, -23.11
321.77,  -19.12, 0.55, 263.31, -23.11
322.11,  -19.04, 0.56, 263.32, -23.11
322.43,  -18.94, 0.56, 263.33, -23.11
322.73,  -18.82, 0.56, 263.34, -23.11
323.03,  -18.68, 0.57, 263.35, -23.11
323.34,  -18.53, 0.57, 263.36, -23.11
323.68,  -18.37, 0.58, 263.37, -23.11
324.06,  -18.19, 0.58, 263.37, -23.11
324.48,  -18.00, 0.58, 263.38, -23.11
324.94,  -17.81, 0.59, 263.39, -23.11
325.46,  -17.62, 0.59, 263.40, -23.11
326.03,  -17.43, 0.60, 263.41, -23.11
326.64,  -17.25, 0.60, 263.42, -23.11
327.29,  -17.08, 0.60, 263.43, -23.11
327.97,  -16.92, 0.61, 263.44, -23.12
328.66,  -16.77, 0.61, 263.45, -23.12
329.36,  -16.63, 0.62, 263.46, -23.12
330.05,  -16.51, 0.62, 263.46, -23.12
330.71,  -16.39, 0.62, 263.47, -23.12
331.35,  -16.29, 0.63, 263.48, -23.12
331.95,  -16.19, 0.63, 263.49, -23.12
332.50,  -16.10, 0.63, 263.50, -23.12
332.99,  -16.00, 0.64, 263.51, -23.12
333.44,  -15.91, 0.64, 263.52, -23.12
333.84,  -15.81, 0.65, 263.53, -23.12
334.19,  -15.70, 0.65, 263.54, -23.12
334.51,  -15.57, 0.65, 263.54, -23.12
334.80,  -15.44, 0.66, 263.55, -23.12
335.08,  -15.29, 0.66, 263.56, -23.12
335.37,  -15.12, 0.66, 263.57, -23.12
335.67,  -14.94, 0.67, 263.58, -23.12
335.99,  -14.76, 0.67, 263.59, -23.12
336.36,  -14.56, 0.68, 263.60, -23.12
336.77,  -14.36, 0.68, 263.61, -23.12
337.23,  -14.15, 0.68, 263.62, -23.12
337.74,  -13.95, 0.69, 263.63, -23.12
338.30,  -13.74, 0.69, 263.63, -23.12
338.90,  -13.55, 0.69, 263.64, -23.13
339.53,  -13.36, 0.70, 263.65, -23.13
340.19,  -13.19, 0.70, 263.66, -23.13
340.86,  -13.02, 0.70, 263.67, -23.13
341.53,  -12.86, 0.71, 263.68, -23.13
342.20,  -12.71, 0.71, 263.69, -23.13
342.83,  -12.57, 0.71, 263.70, -23.13
343.44,  -12.44, 0.72, 263.71, -23.13
344.00,  -12.31, 0.72, 263.72, -23.13
344.52,  -12.18, 0.73, 263.72, -23.13
344.98,  -12.05, 0.73, 263.73, -23.13
345.40,  -11.92, 0.73, 263.74, -23.13
345.77,  -11.78, 0.74, 263.75, -23.13
346.09,  -11.64, 0.74, 263.76, -23.13
346.39,  -11.48, 0.74, 263.77, -23.13
346.67,  -11.32, 0.75, 263.78, -23.13
346.93,  -11.14, 0.75, 263.79, -23.13
347.21,  -10.96, 0.75, 263.80, -23.13
347.50,  -10.76, 0.76, 263.81, -23.13
347.83,  -10.56, 0.76, 263.81, -23.13
348.19,  -10.35, 0.76, 263.82, -23.13
348.60,  -10.14, 0.77, 263.83, -23.13
349.06,  -9.93, 0.77, 263.84, -23.14
349.57,  -9.72, 0.77, 263.85, -23.14
350.13,  -9.52, 0.78, 263.86, -23.14
350.72,  -9.32, 0.78, 263.87, -23.14
351.35,  -9.12, 0.78, 263.88, -23.14
351.99,  -8.93, 0.79, 263.89, -23.14
352.65,  -8.75, 0.79, 263.90, -23.14
353.31,  -8.58, 0.79, 263.91, -23.14
353.95,  -8.41, 0.80, 263.91, -23.14
354.56,  -8.25, 0.80, 263.92, -23.14
355.14,  -8.09, 0.80, 263.93, -23.14
355.68,  -7.93, 0.80, 263.94, -23.14
356.17,  -7.77, 0.81, 263.95, -23.14
356.61,  -7.61, 0.81, 263.96, -23.14
357.00,  -7.45, 0.81, 263.97, -23.14
357.35,  -7.28, 0.82, 263.98, -23.14
357.66,  -7.11, 0.82, 263.99, -23.14
357.94,  -6.93, 0.82, 264.00, -23.14
358.20,  -6.75, 0.83, 264.01, -23.14
358.46,  -6.55, 0.83, 264.01, -23.14
358.74,  -6.36, 0.83, 264.02, -23.14
359.03,  -6.15, 0.83, 264.03, -23.14
359.36,  -5.95, 0.84, 264.04, -23.14
359.73,  -5.74, 0.84, 264.05, -23.14
0.15,  -5.53, 0.84, 264.06, -23.15
0.62,  -5.32, 0.85, 264.07, -23.15
1.13,  -5.12, 0.85, 264.08, -23.15
1.70,  -4.91, 0.85, 264.09, -23.15
2.29,  -4.71, 0.85, 264.10, -23.15
2.92,  -4.52, 0.86, 264.11, -23.15
3.57,  -4.32, 0.86, 264.12, -23.15
4.22,  -4.13, 0.86, 264.12, -23.15
4.86,  -3.95, 0.87, 264.13, -23.15
5.49,  -3.76, 0.87, 264.14, -23.15
6.09,  -3.58, 0.87, 264.15, -23.15
6.66,  -3.40, 0.87, 264.16, -23.15
7.18,  -3.22, 0.88, 264.17, -23.15
7.65,  -3.03, 0.88, 264.18, -23.15
8.07,  -2.85, 0.88, 264.19, -23.15
8.45,  -2.66, 0.88, 264.20, -23.15
8.78,  -2.47, 0.89, 264.21, -23.15
9.08,  -2.28, 0.89, 264.21, -23.15
9.35,  -2.08, 0.89, 264.22, -23.15
9.61,  -1.89, 0.89, 264.23, -23.15
9.87,  -1.69, 0.90, 264.24, -23.15
10.15,  -1.49, 0.90, 264.25, -23.15
10.46,  -1.29, 0.90, 264.26, -23.15
10.80,  -1.09, 0.90, 264.27, -23.16
11.18,  -0.89, 0.91, 264.28, -23.16
11.62,  -0.69, 0.91, 264.29, -23.16
12.10,  -0.49, 0.91, 264.30, -23.16
12.64,  -0.29, 0.91, 264.31, -23.16
13.21,  -0.10, 0.91, 264.32, -23.16
13.82,  0.10, 0.92, 264.33, -23.16
14.46,  0.29, 0.92, 264.33, -23.16
15.11,  0.48, 0.92, 264.34, -23.16
15.76,  0.68, 0.92, 264.35, -23.16
16.41,  0.87, 0.93, 264.36, -23.16
17.04,  1.07, 0.93, 264.37, -23.16
17.63,  1.27, 0.93, 264.38, -23.16
18.19,  1.47, 0.93, 264.39, -23.16
18.70,  1.67, 0.93, 264.40, -23.16
19.16,  1.87, 0.94, 264.41, -23.16
19.58,  2.08, 0.94, 264.42, -23.16
19.94,  2.28, 0.94, 264.43, -23.16
20.27,  2.49, 0.94, 264.43, -23.16
20.56,  2.69, 0.94, 264.44, -23.16
20.84,  2.89, 0.95, 264.45, -23.16
21.11,  3.09, 0.95, 264.46, -23.16
21.38,  3.29, 0.95, 264.47, -23.16
21.67,  3.48, 0.95, 264.48, -23.16
21.99,  3.67, 0.95, 264.49, -23.16
22.35,  3.86, 0.95, 264.50, -23.17
22.76,  4.04, 0.96, 264.51, -23.17
23.22,  4.22, 0.96, 264.52, -23.17
23.73,  4.40, 0.96, 264.53, -23.17
24.29,  4.58, 0.96, 264.54, -23.17
24.89,  4.76, 0.96, 264.55, -23.17
25.52,  4.95, 0.96, 264.56, -23.17
26.17,  5.13, 0.96, 264.56, -23.17
26.84,  5.32, 0.97, 264.57, -23.17
27.51,  5.52, 0.97, 264.58, -23.17
28.16,  5.71, 0.97, 264.59, -23.17
28.80,  5.92, 0.97, 264.60, -23.17
29.39,  6.13, 0.97, 264.61, -23.17
29.95,  6.34, 0.97, 264.62, -23.17
30.46,  6.55, 0.97, 264.63, -23.17
30.93,  6.77, 0.98, 264.64, -23.17
31.34,  6.98, 0.98, 264.65, -23.17
31.71,  7.20, 0.98, 264.66, -23.17
32.03,  7.41, 0.98, 264.67, -23.17
32.33,  7.61, 0.98, 264.67, -23.17
32.62,  7.81, 0.98, 264.68, -23.17
32.90,  8.00, 0.98, 264.69, -23.17
33.19,  8.18, 0.98, 264.70, -23.17
33.50,  8.36, 0.98, 264.71, -23.17
33.85,  8.53, 0.99, 264.72, -23.17
34.24,  8.69, 0.99, 264.73, -23.18
34.68,  8.85, 0.99, 264.74, -23.18
35.17,  9.00, 0.99, 264.75, -23.18
35.71,  9.16, 0.99, 264.76, -23.18
36.30,  9.32, 0.99, 264.77, -23.18
36.93,  9.48, 0.99, 264.78, -23.18
37.59,  9.64, 0.99, 264.79, -23.18
38.27,  9.81, 0.99, 264.80, -23.18
38.96,  9.99, 0.99, 264.80, -23.18
39.65,  10.18, 0.99, 264.81, -23.18
40.32,  10.38, 0.99, 264.82, -23.18
40.97,  10.58, 0.99, 264.83, -23.18
41.58,  10.79, 0.99, 264.84, -23.18
42.15,  11.01, 1.00, 264.85, -23.18
42.67,  11.22, 1.00, 264.86, -23.18
43.14,  11.44, 1.00, 264.87, -23.18
43.56,  11.66, 1.00, 264.88, -23.18
43.94,  11.87, 1.00, 264.89, -23.18
44.28,  12.07, 1.00, 264.90, -23.18
44.59,  12.27, 1.00, 264.91, -23.18
44.89,  12.45, 1.00, 264.92, -23.18
45.19,  12.62, 1.00, 264.93, -23.18
45.50,  12.78, 1.00, 264.93, -23.18
45.84,  12.93, 1.00, 264.94, -23.18
46.22,  13.06, 1.00, 264.95, -23.18
46.64,  13.19, 1.00, 264.96, -23.18
47.12,  13.32, 1.00, 264.97, -23.19
47.65,  13.44, 1.00, 264.98, -23.19
48.23,  13.56, 1.00, 264.99, -23.19
48.85,  13.69, 1.00, 265.00, -23.19
49.52,  13.82, 1.00, 265.01, -23.19
50.22,  13.96, 1.00, 265.02, -23.19
50.93,  14.11, 1.00, 265.03, -23.19
51.65,  14.27, 1.00, 265.04, -23.19
52.37,  14.45, 1.00, 265.05, -23.19
53.07,  14.63, 1.00, 265.06, -23.19
53.74,  14.82, 1.00, 265.07, -23.19
54.37,  15.03, 1.00, 265.07, -23.19
54.96,  15.23, 1.00, 265.08, -23.19
55.49,  15.44, 1.00, 265.09, -23.19
55.98,  15.65, 1.00, 265.10, -23.19
56.42,  15.85, 1.00, 265.11, -23.19
56.81,  16.05, 0.99, 265.12, -23.19
57.16,  16.23, 0.99, 265.13, -23.19
57.50,  16.41, 0.99, 265.14, -23.19
57.82,  16.56, 0.99, 265.15, -23.19
58.14,  16.70, 0.99, 265.16, -23.19
58.48,  16.82, 0.99, 265.17, -23.19
58.86,  16.93, 0.99, 265.18, -23.19
59.27,  17.03, 0.99, 265.19, -23.19
59.73,  17.12, 0.99, 265.20, -23.19
60.24,  17.20, 0.99, 265.21, -23.19
60.81,  17.28, 0.99, 265.22, -23.19
61.43,  17.36, 0.99, 265.22, -23.20
62.10,  17.45, 0.99, 265.23, -23.20
62.80,  17.55, 0.98, 265.24, -23.20
63.54,  17.65, 0.98, 265.25, -23.20
64.29,  17.77, 0.98, 265.26, -23.20
65.05,  17.91, 0.98, 265.27, -23.20
65.80,  18.05, 0.98, 265.28, -23.20
66.53,  18.21, 0.98, 265.29, -23.20
67.22,  18.38, 0.98, 265.30, -23.20
67.88,  18.56, 0.98, 265.31, -23.20
68.49,  18.75, 0.98, 265.32, -23.20
69.05,  18.94, 0.97, 265.33, -23.20
69.55,  19.12, 0.97, 265.34, -23.20
70.01,  19.30, 0.97, 265.35, -23.20
70.42,  19.47, 0.97, 265.36, -23.20
70.80,  19.62, 0.97, 265.36, -23.20
71.15,  19.75, 0.97, 265.37, -23.20
71.50,  19.87, 0.97, 265.38, -23.20
71.85,  19.97, 0.96, 265.39, -23.20
72.22,  20.05, 0.96, 265.40, -23.20
72.62,  20.11, 0.96, 265.41, -23.20
73.07,  20.15, 0.96, 265.42, -23.20
73.56,  20.19, 0.96, 265.43, -23.20
74.11,  20.22, 0.96, 265.44, -23.20
74.72,  20.25, 0.95, 265.45, -23.20
75.38,  20.29, 0.95, 265.46, -23.20
76.08,  20.33, 0.95, 265.47, -23.20
76.83,  20.38, 0.95, 265.48, -23.20
77.60,  20.44, 0.95, 265.49, -23.21
78.39,  20.52, 0.94, 265.50, -23.21
79.18,  20.61, 0.94, 265.51, -23.21
79.96,  20.72, 0.94, 265.52, -23.21
80.72,  20.85, 0.94, 265.53, -23.21
81.44,  20.98, 0.94, 265.53, -23.21
82.12,  21.13, 0.93, 265.54, -23.21
82.76,  21.28, 0.93, 265.55, -23.21
83.34,  21.43, 0.93, 265.56, -23.21
83.86,  21.58, 0.93, 265.57, -23.21
84.33,  21.71, 0.92, 265.58, -23.21
84.76,  21.84, 0.92, 265.59, -23.21
85.16,  21.95, 0.92, 265.60, -23.21
85.54,  22.03, 0.92, 265.61, -23.21
85.90,  22.10, 0.92, 265.62, -23.21
86.28,  22.14, 0.91, 265.63, -23.21
86.67,  22.17, 0.91, 265.64, -23.21
87.10,  22.17, 0.91, 265.65, -23.21
87.57,  22.16, 0.91, 265.66, -23.21
88.10,  22.14, 0.90, 265.67, -23.21
88.68,  22.12, 0.90, 265.68, -23.21
89.32,  22.09, 0.90, 265.69, -23.21
90.01,  22.07, 0.89, 265.70, -23.21
90.75,  22.06, 0.89, 265.71, -23.21
91.52,  22.06, 0.89, 265.71, -23.21
92.32,  22.07, 0.89, 265.72, -23.21
93.14,  22.10, 0.88, 265.73, -23.21
93.95,  22.14, 0.88, 265.74, -23.21
94.76,  22.20, 0.88, 265.75, -23.21
95.54,  22.28, 0.87, 265.76, -23.22
96.28,  22.37, 0.87, 265.77, -23.22
96.98,  22.46, 0.87, 265.78, -23.22
97.63,  22.57, 0.87, 265.79, -23.22
98.22,  22.67, 0.86, 265.80, -23.22
98.76,  22.76, 0.86, 265.81, -23.22
99.25,  22.85, 0.86, 265.82, -23.22
99.69,  22.92, 0.85, 265.83, -23.22
100.10,  22.97, 0.85, 265.84, -23.22
100.49,  23.01, 0.85, 265.85, -23.22
100.87,  23.01, 0.84, 265.86, -23.22
101.26,  23.00, 0.84, 265.87, -23.22
101.67,  22.96, 0.84, 265.88, -23.22
102.12,  22.91, 0.83, 265.89, -23.22
102.61,  22.84, 0.83, 265.90, -23.22
103.15,  22.76, 0.83, 265.90, -23.22
103.75,  22.68, 0.82, 265.91, -23.22
104.41,  22.59, 0.82, 265.92, -23.22
105.11,  22.51, 0.82, 265.93, -23.22
105.87,  22.44, 0.81, 265.94, -23.22
106.66,  22.38, 0.81, 265.95, -23.22
107.48,  22.34, 0.81, 265.96, -23.22
108.30,  22.31, 0.80, 265.97, -23.22
109.13,  22.30, 0.80, 265.98, -23.22
109.95,  22.30, 0.80, 265.99, -23.22
110.74,  22.32, 0.79, 266.00, -23.22
111.49,  22.36, 0.79, 266.01, -23.22
112.20,  22.40, 0.78, 266.02, -23.22
112.85,  22.44, 0.78, 266.03, -23.22
113.45,  22.48, 0.78, 266.04, -23.22
